Country,Cancer rate
ÿAustralia,468
ÿNew Zealand,438.1
ÿIreland,373.7
ÿHungary,368.1
ÿUnited States,352.2
ÿBelgium,345.8
ÿFrance,344.1
ÿDenmark,340.4
ÿNorway,337.8
ÿNetherlands,334.1
ÿCanada,334
ÿFranceÿ(New Caledonia),324.2
ÿUnited Kingdom,319.2
ÿSouth Korea,313.5
ÿGermany,313.1
ÿÿSwitzerland,311
ÿLuxembourg,309.3
ÿSerbia,307.9
ÿSlovenia,304.9
ÿLatvia,302.2
ÿSlovakia,297.5
ÿCzech Republic,296.7
ÿSweden,294.7
ÿItaly,290.6
ÿCroatia,287.2
ÿLithuania,285.8
ÿEstonia,283.3
ÿGreece,279.8
ÿSpain,272.3
ÿFinland,266.2
ÿUruguay,263.4
ÿBelarus,260.7
ÿPortugal,259.5
ÿIceland,257.8
ÿFranceÿ(Guadeloupe),254.6
ÿUnited Statesÿ(Puerto Rico),254.5
ÿMoldova,254.2
ÿPoland,253.8
ÿCyprus,250.8
ÿFranceÿ(Martinique),250.8
ÿMalta,249.4
ÿSingapore,248.9
ÿJapan,248
ÿAustria,247.7
ÿBarbados,247.5
ÿFranceÿ(French Guiana),247
ÿBulgaria,242.8
ÿLebanon,242.8
ÿFranceÿ(French Polynesia),240.6
